"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Age of Mother"	"Age of Mother Code"	"Marital Status"	"Marital Status Code"	"Education"	"Education Code"	Births
	"2003"	"2003"	"January"	"1"	"35-39 years"	"35-39"	"Married"	"1"	"9 - 11 years"	"19177"	1069
	"2003"	"2003"	"January"	"1"	"35-39 years"	"35-39"	"Married"	"1"	"12 years"	"19178"	5530
	"2003"	"2003"	"January"	"1"	"35-39 years"	"35-39"	"Married"	"1"	"13 - 15 years"	"19179"	6216
	"2003"	"2003"	"January"	"1"	"35-39 years"	"35-39"	"Married"	"1"	"16 years and over"	"16+"	15139
	"2003"	"2003"	"January"	"1"	"35-39 years"	"35-39"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	441
	"2003"	"2003"	"January"	"1"	"35-39 years"	"35-39"	"Married"	"1"	"Excluded"	"999"	2011
	"2003"	"2003"	"January"	"1"	"35-39 years"	"35-39"	"Unmarried"	"2"	"0 -  8 years"	"19176"	535
	"2003"	"2003"	"January"	"1"	"35-39 years"	"35-39"	"Unmarried"	"2"	"9 - 11 years"	"19177"	779
	"2003"	"2003"	"January"	"1"	"35-39 years"	"35-39"	"Unmarried"	"2"	"12 years"	"19178"	1951
	"2003"	"2003"	"January"	"1"	"35-39 years"	"35-39"	"Unmarried"	"2"	"13 - 15 years"	"19179"	1198
	"2003"	"2003"	"January"	"1"	"35-39 years"	"35-39"	"Unmarried"	"2"	"16 years and over"	"16+"	770
	"2003"	"2003"	"January"	"1"	"35-39 years"	"35-39"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	125
	"2003"	"2003"	"January"	"1"	"35-39 years"	"35-39"	"Unmarried"	"2"	"Excluded"	"999"	310
	"2003"	"2003"	"January"	"1"	"40-44 years"	"40-44"	"Married"	"1"	"0 -  8 years"	"19176"	332
	"2003"	"2003"	"January"	"1"	"40-44 years"	"40-44"	"Married"	"1"	"9 - 11 years"	"19177"	255
	"2003"	"2003"	"January"	"1"	"40-44 years"	"40-44"	"Married"	"1"	"12 years"	"19178"	1213
	"2003"	"2003"	"January"	"1"	"40-44 years"	"40-44"	"Married"	"1"	"13 - 15 years"	"19179"	1284
	"2003"	"2003"	"January"	"1"	"40-44 years"	"40-44"	"Married"	"1"	"16 years and over"	"16+"	3158
	"2003"	"2003"	"January"	"1"	"40-44 years"	"40-44"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	118
	"2003"	"2003"	"January"	"1"	"40-44 years"	"40-44"	"Married"	"1"	"Excluded"	"999"	423
	"2003"	"2003"	"January"	"1"	"40-44 years"	"40-44"	"Unmarried"	"2"	"0 -  8 years"	"19176"	136
	"2003"	"2003"	"January"	"1"	"40-44 years"	"40-44"	"Unmarried"	"2"	"9 - 11 years"	"19177"	170
	"2003"	"2003"	"January"	"1"	"40-44 years"	"40-44"	"Unmarried"	"2"	"12 years"	"19178"	449
	"2003"	"2003"	"January"	"1"	"40-44 years"	"40-44"	"Unmarried"	"2"	"13 - 15 years"	"19179"	317
	"2003"	"2003"	"January"	"1"	"40-44 years"	"40-44"	"Unmarried"	"2"	"16 years and over"	"16+"	271
	"2003"	"2003"	"January"	"1"	"40-44 years"	"40-44"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	42
	"2003"	"2003"	"January"	"1"	"40-44 years"	"40-44"	"Unmarried"	"2"	"Excluded"	"999"	71
	"2003"	"2003"	"January"	"1"	"45-49 years"	"45-49"	"Married"	"1"	"0 -  8 years"	"19176"	25
	"2003"	"2003"	"January"	"1"	"45-49 years"	"45-49"	"Married"	"1"	"9 - 11 years"	"19177"	10
	"2003"	"2003"	"January"	"1"	"45-49 years"	"45-49"	"Married"	"1"	"12 years"	"19178"	56
	"2003"	"2003"	"January"	"1"	"45-49 years"	"45-49"	"Married"	"1"	"13 - 15 years"	"19179"	73
	"2003"	"2003"	"January"	"1"	"45-49 years"	"45-49"	"Married"	"1"	"16 years and over"	"16+"	192
	"2003"	"2003"	"January"	"1"	"45-49 years"	"45-49"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	9
	"2003"	"2003"	"January"	"1"	"45-49 years"	"45-49"	"Married"	"1"	"Excluded"	"999"	20
	"2003"	"2003"	"January"	"1"	"45-49 years"	"45-49"	"Unmarried"	"2"	"0 -  8 years"	"19176"	8
	"2003"	"2003"	"January"	"1"	"45-49 years"	"45-49"	"Unmarried"	"2"	"9 - 11 years"	"19177"	9
	"2003"	"2003"	"January"	"1"	"45-49 years"	"45-49"	"Unmarried"	"2"	"12 years"	"19178"	22
	"2003"	"2003"	"January"	"1"	"45-49 years"	"45-49"	"Unmarried"	"2"	"13 - 15 years"	"19179"	15
	"2003"	"2003"	"January"	"1"	"45-49 years"	"45-49"	"Unmarried"	"2"	"16 years and over"	"16+"	23
	"2003"	"2003"	"January"	"1"	"45-49 years"	"45-49"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	3
	"2003"	"2003"	"January"	"1"	"45-49 years"	"45-49"	"Unmarried"	"2"	"Excluded"	"999"	5
	"2003"	"2003"	"January"	"1"	"50-54 years"	"50-54"	"Married"	"1"	"0 -  8 years"	"19176"	2
	"2003"	"2003"	"January"	"1"	"50-54 years"	"50-54"	"Married"	"1"	"12 years"	"19178"	4
	"2003"	"2003"	"January"	"1"	"50-54 years"	"50-54"	"Married"	"1"	"13 - 15 years"	"19179"	5
	"2003"	"2003"	"January"	"1"	"50-54 years"	"50-54"	"Married"	"1"	"16 years and over"	"16+"	10
	"2003"	"2003"	"January"	"1"	"50-54 years"	"50-54"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	2
	"2003"	"2003"	"January"	"1"	"50-54 years"	"50-54"	"Married"	"1"	"Excluded"	"999"	1
	"2003"	"2003"	"January"	"1"	"50-54 years"	"50-54"	"Unmarried"	"2"	"16 years and over"	"16+"	1
	"2003"	"2003"	"February"	"2"	"Under 15 years"	"15"	"Married"	"1"	"0 -  8 years"	"19176"	9
	"2003"	"2003"	"February"	"2"	"Under 15 years"	"15"	"Married"	"1"	"9 - 11 years"	"19177"	5
	"2003"	"2003"	"February"	"2"	"Under 15 years"	"15"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	1
	"2003"	"2003"	"February"	"2"	"Under 15 years"	"15"	"Married"	"1"	"Excluded"	"999"	1
	"2003"	"2003"	"February"	"2"	"Under 15 years"	"15"	"Unmarried"	"2"	"0 -  8 years"	"19176"	372
	"2003"	"2003"	"February"	"2"	"Under 15 years"	"15"	"Unmarried"	"2"	"9 - 11 years"	"19177"	105
	"2003"	"2003"	"February"	"2"	"Under 15 years"	"15"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	15
	"2003"	"2003"	"February"	"2"	"Under 15 years"	"15"	"Unmarried"	"2"	"Excluded"	"999"	20
	"2003"	"2003"	"February"	"2"	"15-19 years"	"15-19"	"Married"	"1"	"0 -  8 years"	"19176"	593
	"2003"	"2003"	"February"	"2"	"15-19 years"	"15-19"	"Married"	"1"	"9 - 11 years"	"19177"	2362
	"2003"	"2003"	"February"	"2"	"15-19 years"	"15-19"	"Married"	"1"	"12 years"	"19178"	2296
	"2003"	"2003"	"February"	"2"	"15-19 years"	"15-19"	"Married"	"1"	"13 - 15 years"	"19179"	405
	"2003"	"2003"	"February"	"2"	"15-19 years"	"15-19"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	77
	"2003"	"2003"	"February"	"2"	"15-19 years"	"15-19"	"Married"	"1"	"Excluded"	"999"	205
	"2003"	"2003"	"February"	"2"	"15-19 years"	"15-19"	"Unmarried"	"2"	"0 -  8 years"	"19176"	2010
	"2003"	"2003"	"February"	"2"	"15-19 years"	"15-19"	"Unmarried"	"2"	"9 - 11 years"	"19177"	13279
	"2003"	"2003"	"February"	"2"	"15-19 years"	"15-19"	"Unmarried"	"2"	"12 years"	"19178"	7911
	"2003"	"2003"	"February"	"2"	"15-19 years"	"15-19"	"Unmarried"	"2"	"13 - 15 years"	"19179"	1203
	"2003"	"2003"	"February"	"2"	"15-19 years"	"15-19"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	411
	"2003"	"2003"	"February"	"2"	"15-19 years"	"15-19"	"Unmarried"	"2"	"Excluded"	"999"	1311
	"2003"	"2003"	"February"	"2"	"20-24 years"	"20-24"	"Married"	"1"	"0 -  8 years"	"19176"	2255
	"2003"	"2003"	"February"	"2"	"20-24 years"	"20-24"	"Married"	"1"	"9 - 11 years"	"19177"	5535
	"2003"	"2003"	"February"	"2"	"20-24 years"	"20-24"	"Married"	"1"	"12 years"	"19178"	14544
	"2003"	"2003"	"February"	"2"	"20-24 years"	"20-24"	"Married"	"1"	"13 - 15 years"	"19179"	8797
	"2003"	"2003"	"February"	"2"	"20-24 years"	"20-24"	"Married"	"1"	"16 years and over"	"16+"	3014
	"2003"	"2003"	"February"	"2"	"20-24 years"	"20-24"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	366
	"2003"	"2003"	"February"	"2"	"20-24 years"	"20-24"	"Married"	"1"	"Excluded"	"999"	1723
	"2003"	"2003"	"February"	"2"	"20-24 years"	"20-24"	"Unmarried"	"2"	"0 -  8 years"	"19176"	2368
	"2003"	"2003"	"February"	"2"	"20-24 years"	"20-24"	"Unmarried"	"2"	"9 - 11 years"	"19177"	10003
	"2003"	"2003"	"February"	"2"	"20-24 years"	"20-24"	"Unmarried"	"2"	"12 years"	"19178"	17275
	"2003"	"2003"	"February"	"2"	"20-24 years"	"20-24"	"Unmarried"	"2"	"13 - 15 years"	"19179"	7606
